x,y
1,0
2,0
3,0.028854786146688058
4,0.021641089610016043
5,0.017312871688012835
6,0.014427393073344029
7,0.012366336920009168
8,0.010820544805008022
9,0.03854342496211101
10,0.034689082465899905
11,0.031535529514454465
12,0.028907568721583256
13,0.026683909589153777
14,0.02477791604707136
15,0.03328460473366231
16,0.031204316937808414
17,0.029368768882643212
18,0.027737170611385257
19,0.026892688761120748
20,0.02554805432306471
21,0.04042317274520982
22,0.038585755802245734
23,0.04069235587106776
24,0.049053032254284666
25,0.047090910964113275
26,0.04527972208087815
27,0.04360269533714192
28,0.042045456217958285
29,0.04059561290009765
30,0.03924242580342773
31,0.037976541100091354
32,0.0367897741907135
33,0.03612888785481139
34,0.035066273506140465
35,0.034064379977393595
36,0.033118147200243774
37,0.032223062140777727
38,0.03137508682128357
39,0.030570597415609635
40,0.029806332480219393
41,0.029079348761189654
42,0.02838698331449466
43,0.027726820911831995
44,0.031902008140464816
45,0.031193074626232265
46,0.03626675135151342
47,0.03549511834403442
48,0.03475563671186703
49,0.03404633800346158
50,0.03336541124339235
51,0.032711187493521914
52,0.03820895052251609
53,0.03748802692775163
54,0.0373715712409394
55,0.03669208812746778
56,0.03603687226804871
57,0.035404646438784694
58,0.03479422150018496
59,0.034527059677126284
60,0.035804085591108266
61,0.03521713336830321
62,0.0393665517312143
63,0.03874168583071883
64,0.03813634698961385
65,0.03754963395900441
66,0.036980700111140706
67,0.036428749363213234
68,0.03589303246081304
69,0.035372843584569366
70,0.03486751724764695
71,0.03437642545542657
72,0.033898975101878975
73,0.03343460557993543
74,0.032982786585611976
75,0.03254301609780382
76,0.03211481851756956
77,0.03214415586396884
78,0.03173205130161027
79,0.03150340762704749
80,0.031109615031709396
81,0.030725545710330267
82,0.03035084393337502
83,0.02998517111490062
84,0.029628204792104186
85,0.029279637676902958
86,0.030916679623435955
87,0.030561315489833242
88,0.03021402781381241
89,0.029874544355230247
90,0.029542604973505467
91,0.030206113326760955
92,0.031120038879747344
93,0.030785414805771565
94,0.03045791039294421
95,0.030137300809860584
96,0.029823370593091203
97,0.03203412466786934
98,0.03170724584472782
99,0.03138697063417501
100,0.03107310092783326
101,0.030912796921005868
102,0.03060973028452542
103,0.03031254843710284
